Employee ID,First Name,Last Name,Gender,Date of Birth,Date of Hire,Department,Job Title,Manager ID,Employment Status
E1000,Keith,Palmer,Non-Binary,1971-09-17,1991-05-09,Accounting,Accountant,,Contract
E1001,Crystal,Murphy,Male,1989-02-19,2024-10-22,Recruitment,Recruitment Manager,E1037,Part-time
E1002,Christopher,Myers,Male,2002-07-12,2022-09-17,Sales,Account Executive,,Part-time
E1003,Christopher,Russell,Male,1972-05-02,2022-06-17,HR,HR Assistant,,Full-time
E1004,David,Carter,Male,1973-01-14,2024-02-08,Recruitment,Recruitment Manager,,Contract
E1005,Rachael,Wood,Male,1994-02-06,2021-07-24,Consulting,Consultant,,Part-time
E1006,Shawn,Pacheco,Male,1990-11-25,2023-08-09,Consulting,Senior Consultant,E1081,Full-time
E1007,April,Cardenas,Male,1998-01-12,2019-01-29,IT,IT Manager,E1020,Full-time
E1008,Jeffrey,Garrett,Female,1999-04-08,2024-10-07,HR,HR Specialist,E1084,Contract
E1009,Elizabeth,White,Male,2004-10-04,2023-05-24,HR,HR Specialist,E1070,Part-time
E1010,Amy,Mccarty,Female,1989-09-03,2016-07-25,Sales,Sales Associate,E1066,Full-time
E1011,Jasmine,Thomas,Non-Binary,1988-04-26,2015-05-04,Accounting,Billing Specialist,E1098,Contract
E1012,Joan,Hamilton,Male,1982-03-19,2003-01-09,HR,HR Assistant,E1044,Contract
E1013,Anthony,Cummings,Male,1981-11-15,2018-07-17,Recruitment,Recruitment Manager,,Part-time
E1014,Brandi,Cantu,Non-Binary,1989-09-11,2014-01-02,Recruitment,Recruiter,E1028,Full-time
E1015,Anthony,Banks,Female,1995-04-07,2023-11-20,Consulting,Lead Consultant,,Full-time
E1016,Kimberly,Richardson,Female,1973-11-01,2002-01-12,Accounting,Accountant,,Part-time
E1017,Jennifer,Ford,Non-Binary,1992-01-24,2015-03-06,Recruitment,Recruitment Manager,,Part-time
E1018,Alexandra,Pierce,Female,1982-05-25,2001-07-29,Sales,Account Executive,E1090,Full-time
E1019,Paul,Garcia,Non-Binary,1959-06-15,2009-02-06,Sales,Account Executive,E1077,Full-time
E1020,Alexis,Davis,Female,2004-10-21,2023-09-22,Recruitment,Recruitment Manager,E1015,Full-time
E1021,Elizabeth,Powers,Non-Binary,1963-10-26,1987-01-01,Accounting,Accountant,,Part-time
E1022,Dana,Brock,Non-Binary,1984-10-04,2017-06-19,Recruitment,Recruiter,E1066,Full-time
E1023,Daniel,Kim,Female,1978-05-18,2018-05-28,IT,IT Manager,,Full-time
E1024,Kenneth,Cordova,Non-Binary,1966-05-16,1986-06-13,HR,HR Manager,E1087,Full-time
E1025,Amy,Ross,Male,1968-08-21,2014-01-03,Consulting,Senior Consultant,,Contract
E1026,Rebecca,Lloyd,Female,1979-07-26,2002-10-09,Consulting,Consultant,E1018,Part-time
E1027,Alexander,Walker,Non-Binary,1998-12-14,2023-10-25,IT,IT Manager,,Part-time
E1028,Julie,Morgan,Male,1989-03-31,2009-12-03,Sales,Account Executive,E1082,Full-time
E1029,Christine,Johnson,Non-Binary,1967-11-19,2014-01-01,IT,System Administrator,,Part-time
E1030,Melissa,Bennett,Male,1972-11-16,2007-01-01,IT,System Administrator,E1073,Full-time
E1031,William,Smith,Male,1991-04-23,2017-03-10,Sales,Account Executive,,Full-time
E1032,Joann,Jones,Female,1969-01-28,2022-12-21,HR,HR Assistant,,Contract
E1033,Audrey,Wilson,Female,1995-07-02,2015-06-01,Recruitment,Senior Recruiter,,Contract
E1034,Brian,Hall,Non-Binary,1998-01-25,2023-10-27,HR,HR Assistant,,Contract
E1035,Sarah,Bauer,Female,1983-06-14,2007-04-30,HR,HR Specialist,E1030,Full-time
E1036,Julie,Walker,Non-Binary,1985-05-27,2019-08-20,Recruitment,Recruitment Manager,,Full-time
E1037,Lance,Brown,Female,1973-07-18,1998-11-21,Sales,Account Executive,E1048,Part-time
E1038,Johnathan,Carter,Female,1977-11-05,2017-01-12,Accounting,Finance Manager,E1055,Contract
E1039,Katie,Strong,Non-Binary,1969-05-22,2017-07-17,HR,HR Assistant,E1026,Full-time
E1040,Lisa,Taylor,Female,1998-06-25,2019-12-27,Recruitment,Recruitment Manager,,Part-time
E1041,Timothy,West,Female,1980-09-22,2017-03-11,Accounting,Accountant,,Part-time
E1042,John,Michael,Female,1963-09-22,2010-10-15,IT,IT Manager,,Part-time
E1043,Rhonda,Wilson,Female,1967-12-15,1985-02-23,Accounting,Finance Manager,E1088,Contract
E1044,Hannah,Holmes,Non-Binary,2003-03-02,2023-03-31,Consulting,Senior Consultant,,Part-time
E1045,Daniel,Garrison,Female,1981-01-12,2017-04-30,Sales,Sales Associate,,Contract
E1046,Brenda,Martinez,Male,1964-01-28,2022-09-11,Recruitment,Senior Recruiter,,Contract
E1047,Stephanie,Garcia,Male,1964-02-29,2015-02-11,Recruitment,Recruitment Manager,E1011,Full-time
E1048,Sheri,Pearson,Female,1959-04-19,1981-11-08,Sales,Sales Manager,,Contract
E1049,Charles,Carson,Female,1990-05-16,2020-12-29,HR,HR Assistant,,Full-time
E1050,Peter,Stewart,Male,2000-11-17,2021-02-04,HR,HR Assistant,E1017,Full-time
E1051,Laura,White,Female,1968-03-27,1991-01-29,Accounting,Billing Specialist,,Contract
E1052,Jessica,Mccall,Female,1970-11-09,1992-09-28,Accounting,Finance Manager,,Contract
E1053,Mathew,Wilkinson,Non-Binary,1977-10-19,2020-02-25,Consulting,Senior Consultant,,Part-time
E1054,Connie,Clark,Male,1961-06-10,2015-06-15,Sales,Sales Manager,E1072,Part-time
E1055,Misty,Vega,Female,1964-08-27,2001-04-13,IT,Software Engineer,E1012,Part-time
E1056,Maria,Alvarez,Male,1974-05-18,2001-02-21,HR,HR Assistant,E1060,Part-time
E1057,Erin,Diaz,Non-Binary,1965-03-26,2013-06-08,Sales,Sales Associate,E1043,Contract
E1058,Kaitlin,Ortiz,Male,2002-11-04,2022-04-20,HR,HR Manager,,Contract
E1059,Martin,Macias,Female,1988-02-08,2022-08-05,Recruitment,Recruitment Manager,,Part-time
